clinical_score,clinical_label,stimulus_set,metric,performance_variable,method,estimate,conf_low,conf_high,p_value,n,fdr_family,p_fdr
isi_score,ISI total,All-stimuli,Correct RT,correct_rt_common_mean_sec,pearson,-0.045877113714098874,-0.10476665389644552,0.010788932278444503,0.1445302353904835,1013,All-stimuli correlations,0.5509612441651077
isi_score,ISI total,All-stimuli,Correct RT,correct_rt_common_mean_sec,spearman,-0.04961147936764145,-0.11289063586070924,0.009043287126144698,0.11455651740803795,1013,All-stimuli correlations,0.43321973078008097
isi_score,ISI total,FACES,Accuracy,accuracy_common_pct,pearson,-0.06919893967338467,-0.1410366348632567,-0.006173818390048661,0.02741003429188079,1016,"FACES, AI-white, and AI-diverse correlations",0.05060314023116454
isi_score,ISI total,FACES,Accuracy,accuracy_common_pct,spearman,-0.06056055248327653,-0.12590879604379146,3.247409842562966e-4,0.05363808198382882,1016,"FACES, AI-white, and AI-diverse correlations",0.11536174591581998
isi_score,ISI total,FACES,Correct RT,correct_rt_common_mean_sec,pearson,-0.04446296160592387,-0.0977643963099777,0.012387798466352158,0.1571260494033336,1014,"FACES, AI-white, and AI-diverse correlations",0.7248856757970336
isi_score,ISI total,FACES,Correct RT,correct_rt_common_mean_sec,spearman,-0.04761960842325298,-0.1091146458991041,0.01073176285603622,0.12968176610707516,1014,"FACES, AI-white, and AI-diverse correlations",0.3890452983212255
minispin_score,Mini-SPIN total,AI-diverse,Accuracy,accuracy_common_pct,pearson,-0.03189973028265171,-0.08797072034660904,0.036817749141579856,0.30996205679549954,1015,"FACES, AI-white, and AI-diverse correlations",0.43288475322489184
minispin_score,Mini-SPIN total,AI-diverse,Accuracy,accuracy_common_pct,spearman,-0.012037222382861265,-0.07172075667302624,0.05383861480004008,0.7016930933522487,1015,"FACES, AI-white, and AI-diverse correlations",0.8154294429240723
minispin_score,Mini-SPIN total,AI-diverse,Correct RT,correct_rt_common_mean_sec,pearson,-0.040216697550718605,-0.09347489736072054,0.024117371379275762,0.20158792163478478,1010,"FACES, AI-white, and AI-diverse correlations",0.7248856757970336
minispin_score,Mini-SPIN total,AI-diverse,Correct RT,correct_rt_common_mean_sec,spearman,-0.052180422929801934,-0.10777919249249324,0.020880233339611632,0.0974395576674783,1010,"FACES, AI-white, and AI-diverse correlations",0.3629087317087372
