sample,variable,summary_type,level_or_statistic,value,denominator,percent
Primary RT sample,participant_ethnicity_group,categorical,Mixed/multiple,47,1046,4.493307839388145
Primary RT sample,participant_ethnicity_group,categorical,Multiple categories selected,48,1046,4.588910133843212
Primary RT sample,participant_ethnicity_group,categorical,Other,7,1046,0.6692160611854685
Primary RT sample,participant_ethnicity_group,categorical,Prefer not to answer,8,1046,0.7648183556405354
Primary RT sample,participant_ethnicity_group,categorical,White,675,1046,64.53154875717017
Primary RT sample,education,categorical,Attended college but has not graduated,226,1046,21.606118546845124
Primary RT sample,education,categorical,Attended graduate school,52,1046,4.97131931166348
Primary RT sample,education,categorical,Completed master's or doctoral degree,172,1046,16.44359464627151
Primary RT sample,education,categorical,Graduated college,376,1046,35.94646271510516
Primary RT sample,education,categorical,Graduated high school or completed GED,164,1046,15.678776290630974
Primary RT sample,education,categorical,Has not completed high school,17,1046,1.6252390057361379
Primary RT sample,education,categorical,Missing,39,1046,3.72848948374761
Primary RT sample,employment,categorical,Disabled,64,1046,6.118546845124283
Primary RT sample,employment,categorical,Full Time,480,1046,45.88910133843212
Primary RT sample,employment,categorical,Homemaker,52,1046,4.97131931166348
Primary RT sample,employment,categorical,Missing,39,1046,3.72848948374761
Primary RT sample,employment,categorical,Part Time,185,1046,17.686424474187383
Primary RT sample,employment,categorical,Retired (other than disability),50,1046,4.780114722753346
Primary RT sample,employment,categorical,Seeking work,56,1046,5.353728489483748
Primary RT sample,employment,categorical,Studying,54,1046,5.162523900573614
Primary RT sample,employment,categorical,Unemployed,66,1046,6.309751434034416
Primary RT sample,prior_mh_status,categorical,Missing,40,1046,3.824091778202677
Primary RT sample,prior_mh_status,categorical,No prior condition reported,161,1046,15.391969407265774
Primary RT sample,prior_mh_status,categorical,Prior condition reported,845,1046,80.78393881453155
Primary RT sample,task_position,categorical,Position 1,372,1046,35.5640535372849
Primary RT sample,task_position,categorical,Position 2,344,1046,32.88718929254302
Primary RT sample,task_position,categorical,Position 3,301,1046,28.776290630975144
Primary RT sample,task_position,categorical,Position 4,29,1046,2.7724665391969405
