sample,variable,summary_type,level_or_statistic,value,denominator,percent
Clinical: altman_srms_score,age,numeric,q25,30.25,1020,
Clinical: altman_srms_score,age,numeric,q75,51,1020,
Clinical: altman_srms_score,age,numeric,min,18,1020,
Clinical: altman_srms_score,age,numeric,max,80,1020,
Clinical: altman_srms_score,cape15_score,numeric,n,1019,1020,
Clinical: altman_srms_score,cape15_score,numeric,missing,1,1020,
Clinical: altman_srms_score,cape15_score,numeric,mean,22.197252208047104,1020,
Clinical: altman_srms_score,cape15_score,numeric,sd,7.493766388266196,1020,
Clinical: altman_srms_score,cape15_score,numeric,median,20,1020,
Clinical: altman_srms_score,cape15_score,numeric,q25,17,1020,
Clinical: altman_srms_score,cape15_score,numeric,q75,25,1020,
Clinical: altman_srms_score,cape15_score,numeric,min,15,1020,
Clinical: altman_srms_score,cape15_score,numeric,max,55,1020,
Clinical: altman_srms_score,altman_srms_score,numeric,n,1020,1020,
Clinical: altman_srms_score,altman_srms_score,numeric,missing,0,1020,
Clinical: altman_srms_score,altman_srms_score,numeric,mean,4.0588235294117645,1020,
Clinical: altman_srms_score,altman_srms_score,numeric,sd,3.487601844019686,1020,
Clinical: altman_srms_score,altman_srms_score,numeric,median,3,1020,
Clinical: altman_srms_score,altman_srms_score,numeric,q25,1,1020,
Clinical: altman_srms_score,altman_srms_score,numeric,q75,6,1020,
Clinical: altman_srms_score,altman_srms_score,numeric,min,0,1020,
Clinical: altman_srms_score,altman_srms_score,numeric,max,19,1020,
Clinical: altman_srms_score,isi_score,numeric,n,1019,1020,
Clinical: altman_srms_score,isi_score,numeric,missing,1,1020,
Clinical: altman_srms_score,isi_score,numeric,mean,9.944062806673209,1020,
Clinical: altman_srms_score,isi_score,numeric,sd,6.543327828911031,1020,
Clinical: altman_srms_score,isi_score,numeric,median,9,1020,
Clinical: altman_srms_score,isi_score,numeric,q25,5,1020,
Clinical: altman_srms_score,isi_score,numeric,q75,14,1020,
Clinical: altman_srms_score,isi_score,numeric,min,0,1020,
Clinical: altman_srms_score,isi_score,numeric,max,28,1020,
Clinical: altman_srms_score,ocir_score,numeric,n,1018,1020,
Clinical: altman_srms_score,ocir_score,numeric,missing,2,1020,
Clinical: altman_srms_score,ocir_score,numeric,mean,17.55500982318271,1020,
Clinical: altman_srms_score,ocir_score,numeric,sd,14.515153965459845,1020,
Clinical: altman_srms_score,ocir_score,numeric,median,14,1020,
Clinical: altman_srms_score,ocir_score,numeric,q25,5,1020,
Clinical: altman_srms_score,ocir_score,numeric,q75,26.75,1020,
Clinical: altman_srms_score,ocir_score,numeric,min,0,1020,
Clinical: altman_srms_score,ocir_score,numeric,max,69,1020,
Clinical: altman_srms_score,minispin_score,numeric,n,1018,1020,
Clinical: altman_srms_score,minispin_score,numeric,missing,2,1020,
Clinical: altman_srms_score,minispin_score,numeric,mean,5.274066797642436,1020,
Clinical: altman_srms_score,minispin_score,numeric,sd,3.746979821293109,1020,
Clinical: altman_srms_score,minispin_score,numeric,median,5,1020,
Clinical: altman_srms_score,minispin_score,numeric,q25,2,1020,
Clinical: altman_srms_score,minispin_score,numeric,q75,8,1020,
Clinical: altman_srms_score,minispin_score,numeric,min,0,1020,
Clinical: altman_srms_score,minispin_score,numeric,max,12,1020,
Clinical: altman_srms_score,asrs_score,numeric,n,1019,1020,
Clinical: altman_srms_score,asrs_score,numeric,missing,1,1020,
Clinical: altman_srms_score,asrs_score,numeric,mean,27.048086359175663,1020,
Clinical: altman_srms_score,asrs_score,numeric,sd,15.900372651611605,1020,
Clinical: altman_srms_score,asrs_score,numeric,median,26,1020,
Clinical: altman_srms_score,asrs_score,numeric,q25,15,1020,
Clinical: altman_srms_score,asrs_score,numeric,q75,38,1020,
Clinical: altman_srms_score,asrs_score,numeric,min,0,1020,
Clinical: altman_srms_score,asrs_score,numeric,max,72,1020,
Clinical: altman_srms_score,gad7_score,numeric,n,438,1020,
Clinical: altman_srms_score,gad7_score,numeric,missing,582,1020,
Clinical: altman_srms_score,gad7_score,numeric,mean,11.771689497716896,1020,
Clinical: altman_srms_score,gad7_score,numeric,sd,4.714059246141969,1020,
Clinical: altman_srms_score,gad7_score,numeric,median,12,1020,
Clinical: altman_srms_score,gad7_score,numeric,q25,8,1020,
Clinical: altman_srms_score,gad7_score,numeric,q75,15,1020,
Clinical: altman_srms_score,gad7_score,numeric,min,0,1020,
Clinical: altman_srms_score,gad7_score,numeric,max,21,1020,
Clinical: altman_srms_score,hamd6_score,numeric,n,393,1020,
Clinical: altman_srms_score,hamd6_score,numeric,missing,627,1020,
Clinical: altman_srms_score,hamd6_score,numeric,mean,9.8269720101781175,1020,
Clinical: altman_srms_score,hamd6_score,numeric,sd,3.5175341028952225,1020,
Clinical: altman_srms_score,hamd6_score,numeric,median,9,1020,
Clinical: altman_srms_score,hamd6_score,numeric,q25,8,1020,
Clinical: altman_srms_score,hamd6_score,numeric,q75,12,1020,
Clinical: altman_srms_score,hamd6_score,numeric,min,1,1020,
Clinical: altman_srms_score,hamd6_score,numeric,max,21,1020,
Clinical: altman_srms_score,gender_original,categorical,Man,462,1020,45.294117647058826
Clinical: altman_srms_score,gender_original,categorical,Missing,22,1020,2.156862745098039
Clinical: altman_srms_score,gender_original,categorical,Non-binary,27,1020,2.6470588235294117
Clinical: altman_srms_score,gender_original,categorical,Other,2,1020,0.19607843137254902
Clinical: altman_srms_score,gender_original,categorical,Rather not say,1,1020,0.09803921568627451
Clinical: altman_srms_score,gender_original,categorical,Woman,506,1020,49.6078431372549
Clinical: altman_srms_score,participant_ethnicity_group,categorical,Asian,61,1020,5.980392156862745
Clinical: altman_srms_score,participant_ethnicity_group,categorical,Black,120,1020,11.76470588235294
Clinical: altman_srms_score,participant_ethnicity_group,categorical,Latino,38,1020,3.7254901960784315
Clinical: altman_srms_score,participant_ethnicity_group,categorical,Missing,23,1020,2.2549019607843137
Clinical: altman_srms_score,participant_ethnicity_group,categorical,Mixed/multiple,47,1020,4.6078431372549025
Clinical: altman_srms_score,participant_ethnicity_group,categorical,Multiple categories selected,47,1020,4.6078431372549025
Clinical: altman_srms_score,participant_ethnicity_group,categorical,Other,7,1020,0.6862745098039216
Clinical: altman_srms_score,participant_ethnicity_group,categorical,Prefer not to answer,8,1020,0.7843137254901961
Clinical: altman_srms_score,participant_ethnicity_group,categorical,White,669,1020,65.58823529411765
Clinical: altman_srms_score,education,categorical,Attended college but has not graduated,225,1020,22.058823529411764
Clinical: altman_srms_score,education,categorical,Attended graduate school,52,1020,5.098039215686274
Clinical: altman_srms_score,education,categorical,Completed master's or doctoral degree,170,1020,16.666666666666664
Clinical: altman_srms_score,education,categorical,Graduated college,371,1020,36.37254901960784
Clinical: altman_srms_score,education,categorical,Graduated high school or completed GED,162,1020,15.88235294117647
Clinical: altman_srms_score,education,categorical,Has not completed high school,17,1020,1.6666666666666667
Clinical: altman_srms_score,education,categorical,Missing,23,1020,2.2549019607843137
Clinical: altman_srms_score,employment,categorical,Disabled,64,1020,6.2745098039215685
Clinical: altman_srms_score,employment,categorical,Full Time,473,1020,46.372549019607845
Clinical: altman_srms_score,employment,categorical,Homemaker,52,1020,5.098039215686274
Clinical: altman_srms_score,employment,categorical,Missing,23,1020,2.2549019607843137
Clinical: altman_srms_score,employment,categorical,Part Time,183,1020,17.941176470588236
Clinical: altman_srms_score,employment,categorical,Retired (other than disability),50,1020,4.901960784313726
Clinical: altman_srms_score,employment,categorical,Seeking work,56,1020,5.490196078431373
Clinical: altman_srms_score,employment,categorical,Studying,54,1020,5.294117647058823
Clinical: altman_srms_score,employment,categorical,Unemployed,65,1020,6.372549019607843
Clinical: altman_srms_score,prior_mh_status,categorical,Missing,24,1020,2.3529411764705883
Clinical: altman_srms_score,prior_mh_status,categorical,No prior condition reported,160,1020,15.686274509803921
Clinical: altman_srms_score,prior_mh_status,categorical,Prior condition reported,836,1020,81.96078431372548
Clinical: altman_srms_score,task_position,categorical,Position 1,353,1020,34.6078431372549
Clinical: altman_srms_score,task_position,categorical,Position 2,340,1020,33.33333333333333
Clinical: altman_srms_score,task_position,categorical,Position 3,298,1020,29.215686274509807
Clinical: altman_srms_score,task_position,categorical,Position 4,29,1020,2.843137254901961
Clinical: isi_score,age,numeric,n,997,1019,
Clinical: isi_score,age,numeric,missing,22,1019,
Clinical: isi_score,age,numeric,mean,41.246740220661984,1019,
Clinical: isi_score,age,numeric,sd,13.669775159723246,1019,
Clinical: isi_score,age,numeric,median,40,1019,
Clinical: isi_score,age,numeric,q25,31,1019,
Clinical: isi_score,age,numeric,q75,51,1019,
Clinical: isi_score,age,numeric,min,18,1019,
Clinical: isi_score,age,numeric,max,80,1019,
Clinical: isi_score,cape15_score,numeric,n,1018,1019,
Clinical: isi_score,cape15_score,numeric,missing,1,1019,
Clinical: isi_score,cape15_score,numeric,mean,22.18271119842829,1019,
Clinical: isi_score,cape15_score,numeric,sd,7.483053007809819,1019,
Clinical: isi_score,cape15_score,numeric,median,20,1019,
Clinical: isi_score,cape15_score,numeric,q25,17,1019,
Clinical: isi_score,cape15_score,numeric,q75,25,1019,
Clinical: isi_score,cape15_score,numeric,min,15,1019,
Clinical: isi_score,cape15_score,numeric,max,55,1019,
Clinical: isi_score,altman_srms_score,numeric,n,1019,1019,
Clinical: isi_score,altman_srms_score,numeric,missing,0,1019,
Clinical: isi_score,altman_srms_score,numeric,mean,4.055937193326791,1019,
Clinical: isi_score,altman_srms_score,numeric,sd,3.488095328064078,1019,
Clinical: isi_score,altman_srms_score,numeric,median,3,1019,
Clinical: isi_score,altman_srms_score,numeric,q25,1,1019,
Clinical: isi_score,altman_srms_score,numeric,q75,6,1019,
Clinical: isi_score,altman_srms_score,numeric,min,0,1019,
Clinical: isi_score,altman_srms_score,numeric,max,19,1019,
Clinical: isi_score,isi_score,numeric,n,1019,1019,
Clinical: isi_score,isi_score,numeric,missing,0,1019,
Clinical: isi_score,isi_score,numeric,mean,9.944062806673209,1019,
Clinical: isi_score,isi_score,numeric,sd,6.543327828911031,1019,
Clinical: isi_score,isi_score,numeric,median,9,1019,
Clinical: isi_score,isi_score,numeric,q25,5,1019,
Clinical: isi_score,isi_score,numeric,q75,14,1019,
Clinical: isi_score,isi_score,numeric,min,0,1019,
Clinical: isi_score,isi_score,numeric,max,28,1019,
Clinical: isi_score,ocir_score,numeric,n,1017,1019,
Clinical: isi_score,ocir_score,numeric,missing,2,1019,
Clinical: isi_score,ocir_score,numeric,mean,17.534906588003935,1019,
Clinical: isi_score,ocir_score,numeric,sd,14.508109693073926,1019,
Clinical: isi_score,ocir_score,numeric,median,14,1019,
Clinical: isi_score,ocir_score,numeric,q25,5,1019,
Clinical: isi_score,ocir_score,numeric,q75,26,1019,
Clinical: isi_score,ocir_score,numeric,min,0,1019,
Clinical: isi_score,ocir_score,numeric,max,69,1019,
Clinical: isi_score,minispin_score,numeric,n,1017,1019,
Clinical: isi_score,minispin_score,numeric,missing,2,1019,
Clinical: isi_score,minispin_score,numeric,mean,5.274336283185841,1019,
Clinical: isi_score,minispin_score,numeric,sd,3.7488134838117264,1019,
Clinical: isi_score,minispin_score,numeric,median,5,1019,
Clinical: isi_score,minispin_score,numeric,q25,2,1019,
Clinical: isi_score,minispin_score,numeric,q75,8,1019,
Clinical: isi_score,minispin_score,numeric,min,0,1019,
Clinical: isi_score,minispin_score,numeric,max,12,1019,
Clinical: isi_score,asrs_score,numeric,n,1019,1019,
Clinical: isi_score,asrs_score,numeric,missing,0,1019,
Clinical: isi_score,asrs_score,numeric,mean,27.048086359175663,1019,
Clinical: isi_score,asrs_score,numeric,sd,15.900372651611605,1019,
Clinical: isi_score,asrs_score,numeric,median,26,1019,
Clinical: isi_score,asrs_score,numeric,q25,15,1019,
Clinical: isi_score,asrs_score,numeric,q75,38,1019,
Clinical: isi_score,asrs_score,numeric,min,0,1019,
Clinical: isi_score,asrs_score,numeric,max,72,1019,
Clinical: isi_score,gad7_score,numeric,n,437,1019,
Clinical: isi_score,gad7_score,numeric,missing,582,1019,
Clinical: isi_score,gad7_score,numeric,mean,11.77345537757437,1019,
Clinical: isi_score,gad7_score,numeric,sd,4.71931714524305,1019,
Clinical: isi_score,gad7_score,numeric,median,12,1019,
Clinical: isi_score,gad7_score,numeric,q25,8,1019,
Clinical: isi_score,gad7_score,numeric,q75,15,1019,
Clinical: isi_score,gad7_score,numeric,min,0,1019,
Clinical: isi_score,gad7_score,numeric,max,21,1019,
Clinical: isi_score,hamd6_score,numeric,n,393,1019,
Clinical: isi_score,hamd6_score,numeric,missing,626,1019,
