clinical_score,clinical_label,metric,comparison,method,difference,conf_low,conf_high,p_value,n,p_fdr
minispin_score,Mini-SPIN total,Correct RT,AI-diverse minus FACES,spearman,-0.012303380117744386,-0.0554438880511267,0.029891167039748017,0.5548902195608783,1010,0.99140848737308
minispin_score,Mini-SPIN total,Correct RT,AI-white minus FACES,pearson,0.003295314856212629,-0.050823000688512227,0.056967305227286935,0.9620758483033932,1007,0.9620758483033932
minispin_score,Mini-SPIN total,Correct RT,AI-white minus FACES,spearman,-0.005116371831990249,-0.05801820277180307,0.04306361883178493,0.7904191616766467,1007,0.99140848737308
ocir_score,OCI-R total,Accuracy,AI-diverse minus AI-white,pearson,-0.022228059210867485,-0.06637857611324706,0.019196325921712668,0.2834331337325349,1004,0.9293413173652695
ocir_score,OCI-R total,Accuracy,AI-diverse minus AI-white,spearman,-0.006488587089416603,-0.05691509698350969,0.04519703436746263,0.7465069860279441,1004,0.8666303756124115
ocir_score,OCI-R total,Accuracy,AI-diverse minus FACES,pearson,0.009489597238177105,-0.051230748235015854,0.06233635578457714,0.7784431137724551,1015,0.9660678642714571
ocir_score,OCI-R total,Accuracy,AI-diverse minus FACES,spearman,0.056299293713657106,-0.007606611845673768,0.11996289236855927,0.07984031936127745,1015,0.4630738522954092
ocir_score,OCI-R total,Accuracy,AI-white minus FACES,pearson,0.03151049249861462,-0.028285627491372527,0.09339763392010425,0.2834331337325349,1004,0.9293413173652695
ocir_score,OCI-R total,Accuracy,AI-white minus FACES,spearman,0.06298407902666668,-0.0014528361773634545,0.13381321113883662,0.0718562874251497,1004,0.4630738522954092
ocir_score,OCI-R total,Correct RT,AI-diverse minus AI-white,pearson,0.003022706574532073,-0.02828650033821164,0.04158059284031898,0.8942115768463074,1006,0.9620758483033932
ocir_score,OCI-R total,Correct RT,AI-diverse minus AI-white,spearman,-0.004917488408700942,-0.03987291250414358,0.03358366506235984,0.8423153692614771,1006,0.99140848737308
ocir_score,OCI-R total,Correct RT,AI-diverse minus FACES,pearson,0.04141548884333329,-0.002622834527648774,0.08809150432680474,0.059880239520958084,1010,0.7664670658682634
ocir_score,OCI-R total,Correct RT,AI-diverse minus FACES,spearman,0.019288826581399007,-0.01981539420670026,0.07023819470836087,0.3193612774451098,1010,0.9900199600798403
ocir_score,OCI-R total,Correct RT,AI-white minus FACES,pearson,0.035344312297753776,-0.012675247147635989,0.093180238842443,0.18363273453093812,1007,0.9620758483033932
ocir_score,OCI-R total,Correct RT,AI-white minus FACES,spearman,0.02403993952120994,-0.02511096888841819,0.07225933924659061,0.3273453093812375,1007,0.9900199600798403
