metric,participant_ethnicity_group,stimulus_set,n_participants,mean,sd,median,q25,q75,min,max
correct_rt_common_mean_sec,Multiple categories selected,AI-diverse,48,2.633848141617996,0.7692548512795062,2.4808161184210524,2.081239182692308,2.8867680423280424,1.631024,4.809036666666667
correct_rt_common_mean_sec,Multiple categories selected,AI-non-white,48,2.673691566613566,0.8230463034224678,2.420292857142857,2.055861071428571,3.166885096153846,1.6304117647058824,4.747833333333333
correct_rt_common_mean_sec,Multiple categories selected,AI-white,47,2.5249629949069843,0.8437960410305773,2.469666666666667,1.881358333333333,2.8952357142857146,1.3871111111111112,5.6392125
correct_rt_common_mean_sec,Multiple categories selected,All-stimuli,48,2.846560414929477,0.7653359112063028,2.5641964814814813,2.322035248138958,3.1753445590994374,1.9321850746268656,4.890420454545454
correct_rt_common_mean_sec,Multiple categories selected,FACES,48,3.04428281235156,0.8438566839377416,2.759201569264069,2.4392971445221447,3.746198468137255,1.8662583333333336,5.390596153846154
correct_rt_common_mean_sec,Other,AI-diverse,7,2.459859575173688,0.7083144592833757,2.3248333333333333,2.136016344537815,2.350237142857143,1.8991347826086955,4.022541935483871
correct_rt_common_mean_sec,Other,AI-non-white,7,2.4970354581843277,0.6570623918815242,2.327284,2.253332608695652,2.470485606060606,1.8066111111111112,3.8977166666666663
correct_rt_common_mean_sec,Other,AI-white,7,2.3834149825174826,0.8382889587774061,2.0754363636363635,1.92363125,2.38836,1.789109090909091,4.195376923076923
correct_rt_common_mean_sec,Other,All-stimuli,7,2.7278158347500137,0.7362775033820623,2.429005172413793,2.3849064171122993,2.6595567066043246,2.2183311475409835,4.358448275862069
correct_rt_common_mean_sec,Other,FACES,7,3.004635140425589,0.8126081188314214,2.8695333333333335,2.5488932346723043,3.008030753968254,2.3049461538461538,4.744118518518518
correct_rt_common_mean_sec,Prefer not to answer,AI-diverse,7,2.6766751414788787,0.41911874009881894,2.448852380952381,2.382974458874459,2.988359724857685,2.286767741935484,3.2584375
correct_rt_common_mean_sec,Prefer not to answer,AI-non-white,7,2.581597151742994,0.43112279418302746,2.581786363636364,2.4382335,2.645935167464115,1.93892,3.3821363636363637
correct_rt_common_mean_sec,Prefer not to answer,AI-white,7,2.8177162987012987,0.7810987454713223,2.9863,2.1748445454545458,3.1341833333333335,1.95625,4.163408333333333
