participant_id,trial_number,row_in_file,source,trial_stratum,target_emotion,response_emotion,correct,rt_sec,stimulus_id,face_age,face_gender,face_ethnicity,face_style,stimulus_variant,common_emotion,valid_trial_number,valid_source,valid_target,valid_stimulus_metadata,duplicate_trial_number,trial_number_occurrence,accuracy_included,rt_in_bounds,rt_included,task_position,gender_binary,participant_ethnicity_group,participant_white_status,face_white_status,gender_congruence,white_status_congruence,exact_ethnicity_congruence
participant_0003,69,69,FACES,FACES,sad,sad,TRUE,3.0057,S220,young,man,white,mixed,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,White,Different gender,Congruent,Exact match
participant_0003,70,70,AI,AI-non-white,disgust,disgust,TRUE,1.531,S128,young,man,asian,dark,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,Non-white,Different gender,Incongruent,Different category
participant_0003,71,71,AI,AI-white,neutral,neutral,TRUE,1.7156,S124,old,woman,white,dark,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,White,Same gender,Congruent,Exact match
participant_0003,72,72,FACES,FACES,sad,sad,TRUE,1.9359,S221,young,man,white,mixed,b,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,White,Different gender,Congruent,Exact match
participant_0003,73,73,AI,AI-white,fear,fear,TRUE,1.9689,S143,young,man,white,dark,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,White,Different gender,Congruent,Exact match
participant_0003,74,74,FACES,FACES,anger,anger,TRUE,3.816,S186,old,man,white,mixed,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,White,Different gender,Congruent,Exact match
participant_0003,75,75,AI,AI-non-white,anger,anger,TRUE,1.5157,S043,middle,woman,asian,dark,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,Non-white,Same gender,Incongruent,Different category
participant_0003,76,76,AI,AI-non-white,disgust,disgust,TRUE,2.0173,S044,middle,woman,asian,dark,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,Non-white,Same gender,Incongruent,Different category
participant_0003,77,77,AI,AI-non-white,fear,fear,TRUE,5.292,S129,young,man,asian,dark,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,Non-white,Different gender,Incongruent,Different category
participant_0003,78,78,AI,AI-white,disgust,disgust,TRUE,3.255,S121,old,woman,white,dark,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,White,Same gender,Congruent,Exact match
participant_0003,79,79,FACES,FACES,sad,fear,FALSE,3.4926999999999997,S184,middle,woman,white,mixed,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,FALSE,Position 3,Woman,White,White,White,Same gender,Congruent,Exact match
